RSRP,RSRQ,Azimuth,Dis_Serving,RS SINR Carrier 1
-92.59999847,-12.39999962,331.9883676,0.335120525,7.800000191
-94.30000305,-13.39999962,332.2780447,0.343242453,2.5
-101.6999969,-13.10000038,332.1878473,0.353680106,0.400000006
-103.0,-14.0,332.0943949,0.364749657,1.0
-102.6999969,-15.80000019,332.0162528,0.376794549,-1.399999976
-103.5,-17.5,323.4923444,0.969847631,-0.899999976
-90.40000153,-11.69999981,332.2193514,0.403343976,5.900000095
-91.59999847,-13.5,332.5154987,0.417424214,2.200000048
-98.80000305,-17.70000076,332.8950312,0.430767194,0.5
-84.90000153,-14.69999981,68.42696495,0.628057198,2.900000095
-89.0,-15.60000038,67.26746855,0.628699929,-0.200000003
-94.30000305,-17.10000038,66.1412616,0.629033625,0.100000001
-98.30000305,-15.80000019,177.3831035,0.366313382,-2.200000048
-98.90000153,-17.20000076,177.7776537,0.354498075,-3.200000048
-97.90000153,-13.39999962,178.1641065,0.343208069,-1.399999976
-97.30000305,-13.5,178.9049062,0.333140801,-1.299999952
-95.30000305,-12.39999962,179.8163471,0.323149684,-0.400000006
-96.69999695,-12.0,180.5960591,0.312028736,0.0
-97.0,-13.30000019,181.3244718,0.300650217,-1.399999976
-96.69999695,-12.30000019,182.1513508,0.290131922,-0.5
-96.5,-14.89999962,183.3016554,0.281357615,-0.899999976
-98.80000305,-12.89999962,185.0159831,0.276163841,-0.600000024
-95.19999695,-11.5,187.4192661,0.276241393,1.299999952
-96.59999847,-12.0,189.5730359,0.280779732,0.5
-97.0,-12.5,191.4368774,0.285120822,1.299999952
-94.5,-13.80000019,193.0694454,0.289680632,2.799999952
-95.30000305,-11.10000038,194.5697565,0.295970115,3.799999952
-92.09999847,-9.600000381,196.4569689,0.300555419,6.800000191
-93.30000305,-10.5,198.566473,0.30497905,4.900000095
-93.09999847,-9.699999809,200.4742688,0.308613843,6.0
-97.09999847,-11.80000019,202.1589661,0.312610015,3.099999905
-98.19999695,-14.0,203.1179053,0.319685341,2.299999952
-98.69999695,-11.89999962,203.6968853,0.327748628,4.0
-99.30000305,-11.30000019,204.1687417,0.336001801,3.799999952
-99.5,-13.10000038,205.1353713,0.345033484,0.699999988
-99.30000305,-14.30000019,206.2082945,0.354063597,-0.899999976
-99.59999847,-14.10000038,207.4065025,0.362516849,0.600000024
-101.4000015,-16.39999962,208.517217,0.371291974,-1.799999952
-101.9000015,-14.80000019,209.3557155,0.381707564,-1.5
-102.3000031,-14.5,209.7961244,0.390328779,-2.5
-102.5999985,-15.5,209.7388651,0.39866911,4.745367374
-101.9000015,-15.0,208.7940567,0.410961203,-1.0
-102.5,-15.39999962,207.5149862,0.420491133,-0.400000006
-103.4000015,-17.39999962,203.2688453,0.453983792,-2.0
-103.5999985,-17.0,201.6723873,0.466095347,-1.700000048
-103.1999969,-15.89999962,200.0688929,0.481196243,-0.800000012
-102.4000015,-14.19999981,197.431972,0.510452773,-2.900000095
-103.0999985,-15.80000019,197.8103607,0.581767814,-2.599999905
-101.9000015,-16.60000038,200.4851281,0.59478246,-3.299999952
-102.6999969,-16.79999924,202.3530775,0.594173878,-2.900000095
-101.6999969,-15.89999962,204.4564815,0.570819821,-1.5
-100.9000015,-15.5,210.7012621,0.511344513,-1.200000048
-100.4000015,-15.10000038,214.1821469,0.488506878,-0.5
-101.3000031,-16.89999962,218.0162179,0.458093645,-0.899999976
-101.0999985,-17.39999962,219.8497668,0.443367277,-2.799999952
-100.9000015,-16.5,225.4171418,0.443075106,4.745367374
-100.9000015,-16.5,225.4696901,0.453803487,4.745367374
-99.69999695,-16.20000076,212.7861205,0.509759891,-3.700000048
-99.40000153,-16.39999962,210.6568437,0.524735887,-1.5
-99.69999695,-16.29999924,207.7994082,0.56676151,-1.399999976
